OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
4354,8f67f22b-23e5-48c0-b27f-3dacf7b7b91e,16709918.0,19/21/1/1/1/0015,Nigeria,NGA,Kano,Kano Municipal,0,Chedi,1,Chedi Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.00201,8.51656,GRID3_EHEALTH,2024-11-11,8.51656000000003,12.00201
4355,3201fe91-86e9-4004-8036-a23a95a6ba53,16518659.0,19/11/1/1/1/0015,Nigeria,NGA,Kano,Doguwa,0,Dariyar Shere,0,Maganda Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,10.64190674,8.760681152,GRID3_EHEALTH,2024-11-11,8.76068115200007,10.64190674
4356,8f3d2416-46fd-4575-814e-c337235bcc94,63110023.0,19/38/1/1/1/0025,Nigeria,NGA,Kano,Tarauni,0,Tarauni (Gbsa),0,Government House Primary Health Clinic,NHFR_2024,Public,State Government,Primary,Primary Health Clinic,11.982914,8.552165,GRID3_EHEALTH,2024-11-11,8.55216500000006,11.9829140000001
4357,d5758286-6181-4dd1-aa46-1229d9a26e7a,65556542.0,19/11/1/1/1/0025,Nigeria,NGA,Kano,Rimin Gado,0,Yalwa-Danziyal,0,Yalwa Danziyal Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.953091,8.309997,GRID3_EHEALTH,2024-11-11,8.30999700000007,11.953091
4358,a7e34739-a7eb-4052-8b0e-9d5fb34c41d4,65447958.0,19/43/1/1/1/0015,Nigeria,NGA,Kano,Warawa,0,Tamburawar Gabas,0,Tamburawar Gabas Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.944313,8.659205,GRID3_EHEALTH,2024-11-11,8.65920500000004,11.944313
4359,19e286f7-f605-4498-b77d-ab00a3542ad8,22495813.0,19/14/1/1/1/0018,Nigeria,NGA,Kano,Garko,0,Dal,0,Gamashina St Peters Clinic and Maternity,NHFR_2024,Private,For Profit,Primary,Primary Health Clinic,11.41888428,8.800109863,GRID3_EHEALTH,2024-11-11,8.80010986300005,11.41888428
4549,8227ef36-7093-44d0-8432-b24e382f5124,52245099.0,19/38/1/1/2/0015,Nigeria,NGA,Kano,Nasarawa,0,Giginyu,0,Medicus Clinic and Diagnostic Centre,NHFR_2024,Private,For Profit,Primary,Primary Health Clinic,11.9853419997,8.56047799964,GRID3_EHEALTH,2024-11-11,8.56047800000005,11.9853420000001
4657,5fb85e8b-6681-4877-b3d4-9149ae48f1cd,21804277.0,19/08/1/1/1/0014,Nigeria,NGA,Kano,Danbatta,0,Gwanda,0,Gwanda (Dambatta) Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,12.5690918,8.569091797,GRID3_EHEALTH,2024-11-11,8.56909179700006,12.5690918
4681,be56f076-2d5d-4f16-8666-b454fbfe2dac,68664905.0,19/12/1/2/2/0007,Nigeria,NGA,Kano,Fagge,0,Sabon Gari West,1,International Ltd Hospital Clinic,NHFR_2024,Private,For Profit,Secondary,Primary Health Center,12.0102669996,8.54235000033,GRID3_EHEALTH,2024-11-11,8.54235000000006,12.0102670000001
6451,f48efa7e-1c9c-4862-a885-d180f73a44b4,83609780.0,19/38/1/2/2/0003,Nigeria,NGA,Kano,Tarauni,0,Gyadi-Gyadi Arewa,1,Al Noury Hospital Specialist,NHFR_2024,Private,For Profit,Secondary,General Hospital,11.97820344,8.54276414,GRID3_EHEALTH,2024-11-11,8.54276414000003,11.9782034400001
6452,2273e320-f09e-4e63-a2d5-8b4e5d998f3d,58084384.0,19/08/1/1/1/0012,Nigeria,NGA,Kano,Danbatta,0,Danbatta East,0,Government Secondary School Danbatta Clinic,NHFR_2024,Public,Local Government,Primary,Health Post,12.425241,8.517304,GRID3_EHEALTH,2024-11-11,8.51730400000002,12.425241
6453,75a4c11c-bfe2-47bd-83b2-b507a07b2edf,48379012.0,19/14/1/1/1/0017,Nigeria,NGA,Kano,Garko,0,Dal,0,Tsakuwar Dal Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.530324,8.790317,GRID3_EHEALTH,2024-11-11,8.79031700000007,11.5303240000001
6454,cc3b7c65-47cc-46c0-a427-0d78e81d98fe,78685317.0,19/20/1/1/1/0014,Nigeria,NGA,Kano,Kabo,0,Gude,0,Husure Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.955787,8.019947,GRID3_EHEALTH,2024-11-11,8.01994700000006,11.955787
6455,fbd30df9-6316-4fbc-8af0-7ec51d042f44,32603514.0,19/23/1/1/1/0017,Nigeria,NGA,Kano,Kibiya,0,Durba,0,Sarari Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.611637,8.685598,GRID3_EHEALTH,2024-11-11,8.68559800000003,11.611637
6456,bcdb7906-d92f-410e-a0cf-af16cb0dbdce,70517476.0,19/35/1/1/1/0023,Nigeria,NGA,Kano,Shanono,0,Tsaure,0,Yan Shadu Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.043244,7.889358,GRID3_EHEALTH,2024-11-11,7.88935800000007,12.0432440000001
6457,2c99e9e7-a365-4bd4-919f-8b308ae4ec80,63240488.0,19/43/1/1/1/0016,Nigeria,NGA,Kano,Warawa,0,Tamburawar Gabas,0,Tamburawa Yandadi Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.956604,8.666466,GRID3_EHEALTH,2024-11-11,8.66646600000007,11.956604
6458,173f04b8-69c9-4daf-bbd3-082dd840680b,25304246.0,19/01/1/1/1/0017,Nigeria,NGA,Kano,Ajingi,0,Chula,0,Kawari Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.00752,9.006035,GRID3_EHEALTH,2024-11-11,9.00603500000005,12.0075200000001
6459,26a2172b-f402-4a9c-8202-972b84d33fac,26391177.0,19/20/1/1/1/0029,Nigeria,NGA,Kano,Kabo,0,Garo,0,Kanyarwaja Health Post,NHFR_2024,Public,Unknown,Primary,Health Post,11.98028565,8.144897461,GRID3_EHEALTH,2024-11-11,8.14489746100003,11.98028565
6460,efda34e3-af63-4d85-a99a-811f8f43d8d1,13324051.0,19/15/1/1/1/0010,Nigeria,NGA,Kano,Garum Mallam,0,Kadawa Ungogo,0,Kadawa Ciki Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.645899,8.444173,GRID3_EHEALTH,2024-11-11,8.44417300000003,11.645899
6461,9476bd1c-6f36-4d49-b964-1089ae6f5c0a,17388363.0,19/08/1/1/1/0030,Nigeria,NGA,Kano,Danbatta,0,Saidawa,0,Takai Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.368062,8.593956,GRID3_EHEALTH,2024-11-11,8.59395600000005,12.3680620000001
6462,18d4ec2a-d7dd-4074-a7a1-017ecb69f1bf,17627073.0,19/19/1/1/1/0008,Nigeria,NGA,Kano,Gwarzo,0,Getso,0,Getso Cottage Hospital,NHFR_2024,Public,State Government,Secondary,Primary Health Clinic,11.86985,7.975697,GRID3_EHEALTH,2024-11-11,7.97569700000003,11.86985
6463,dd5df8f0-9e2d-4c32-b22f-38ac9e691977,12598562.0,19/17/1/1/1/0010,Nigeria,NGA,Kano,Gwale,0,Sani Mainagge,0,Gadan Kaya Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11.984956,8.492864,GRID3_EHEALTH,2024-11-11,8.49286400000005,11.9849560000001
6464,9ac6db44-db02-4c2a-81b5-491bbbc1cb16,32501862.0,19/17/1/1/2/0001,Nigeria,NGA,Kano,Gwale,0,Gwaron Dutse,0,Gwaron Dutse Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.003711,8.490616,GRID3_EHEALTH,2024-11-11,8.49061600000005,12.0037110000001
6465,17f7996a-c35b-4f56-a993-65d1535d6950,52666304.0,19/14/1/1/1/0015,Nigeria,NGA,Kano,Garko,0,Katumari,0,Sanni Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.530705,9.019129,GRID3_EHEALTH,2024-11-11,9.01912900000002,11.5307050000001
6466,7957a88a-3180-472f-b1dd-13e5b5f1acaa,68180141.0,19/15/1/1/1/0009,Nigeria,NGA,Kano,Garum Mallam,0,Jobawa,0,Sabon Garin Jobawa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.69592285,8.355285645,GRID3_EHEALTH,2024-11-11,8.35528564500004,11.69592285
6467,0eae85d7-91eb-432a-9c96-debbf7fc9214,80076674.0,19/09/1/1/1/0027,Nigeria,NGA,Kano,Dawakin Kudu,0,Dawakiji,0,Dawaki Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.83572,8.59633,GRID3_EHEALTH,2024-11-11,8.59633000000002,11.83572
6468,2a7ed70d-9981-418c-8814-e7e76c3ad87f,53145013.0,19/24/1/1/1/0001,Nigeria,NGA,Kano,Kiru,0,Bargoni,0,Acilafiya Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.74852,8.13862,GRID3_EHEALTH,2024-11-11,8.13862000000006,11.74852
6469,db6989c9-f77e-44f0-b109-a37644a7f2e7,65529267.0,19/12/1/1/1/0002,Nigeria,NGA,Kano,Ungogo,0,Kadawa Ungogo,0,Dan Rimi Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.058141,8.488795,GRID3_EHEALTH,2024-11-11,8.48879500000004,12.058141
6470,bc24ba2a-139d-4da4-a356-1ddf93fc9c11,22042145.0,19/17/1/1/1/0013,Nigeria,NGA,Kano,Gwale,0,Dorayi,0,Ja'En Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.945363,8.483192,GRID3_EHEALTH,2024-11-11,8.48319200000003,11.945363
6471,56f015d7-f41a-49a1-b803-ab09c8c4ab78,64181930.0,19/07/1/1/1/0002,Nigeria,NGA,Kano,Dala,0,Kabuwaya,0,Dala Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.013529,8.506037,GRID3_EHEALTH,2024-11-11,8.50603700000005,12.0135290000001
6472,a9647bee-60df-4f45-8952-1fe3d1267b17,41196455.0,19/12/1/2/2/0020,Nigeria,NGA,Kano,Fagge,0,Sabon Gari East,1,Tunik Limited Hospital,NHFR_2024,Private,For Profit,Secondary,Primary Health Center,12.02904,8.53465,GRID3_EHEALTH,2024-11-11,8.53465000000006,12.0290400000001
6474,96986f7f-70cc-4d0f-bdae-c17b9eec225c,32675464.0,19/38/1/1/2/0018,Nigeria,NGA,Kano,Tarauni,0,Babban Giji,0,Triumph Ltd Clinic and Maternity,NHFR_2024,Private,For Profit,Secondary,Primary Health Center,11.96307373,8.541687012,GRID3_EHEALTH,2024-11-11,8.54168701200007,11.9630737300001
6475,4e295735-900c-4f74-ba5d-0f4a821e547f,28642403.0,19/08/1/1/1/0037,Nigeria,NGA,Kano,Danbatta,0,Danbatta West,0,Maimunatu Ggss Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.42468262,8.51171875,GRID3_EHEALTH,2024-11-11,8.51171875000006,12.4246826200001
6476,74dde647-1c6e-453b-b8fd-66c6aa8f4099,36664300.0,19/40/1/1/2/0031,Nigeria,NGA,Kano,Tsanyawa,0,Tsanyawa,0,Tsanyawa Ecwa Clinic,NHFR_2024,Private,For Profit,Primary,Primary Health Clinic,12.29852295,7.98248291,GRID3_EHEALTH,2024-11-11,7.98248291000004,12.2985229500001
6477,5fd2a270-b0bd-41ef-9921-93c7e0cb715a,13765759.0,19/31/1/2/2/0005,Nigeria,NGA,Kano,Nasarawa,0,Tudunwada (Nsr),0,Coppper Stone Hospital,NHFR_2024,Private,For Profit,Secondary,Primary Health Center,12.01190186,8.554504395,GRID3_EHEALTH,2024-11-11,8.55450439500004,12.01190186
6478,1ebd24bb-7223-4b10-bde3-5d157db3eafd,17530399.0,19/38/1/1/2/0011,Nigeria,NGA,Kano,Nasarawa,0,Hotoro South,1,Hallmark Clinic,NHFR_2024,Private,For Profit,Secondary,Primary Health Clinic,11.97729492,8.573486328,GRID3_EHEALTH,2024-11-11,8.57348632800006,11.9772949200001
6479,138676be-9960-45cf-b753-fffa8efeb18c,71153224.0,19/19/1/1/2/0029,Nigeria,NGA,Kano,Gwarzo,0,Kutama,1,Alheri Health Clinic,NHFR_2024,Private,For Profit,Primary,Primary Health Clinic,11.91192627,7.932678223,GRID3_EHEALTH,2024-11-11,7.93267822300004,11.91192627
6480,0ca3d5e6-fd99-4cdc-9daf-9a3655ca72a7,65878639.0,19/38/1/1/2/0001,Nigeria,NGA,Kano,Tarauni,0,Tarauni (Gbsa),0,Excellence Clinic and Maternity,NHFR_2024,Private,For Profit,Primary,Primary Health Clinic,11.97668457,8.563293457,GRID3_EHEALTH,2024-11-11,8.56329345700004,11.97668457
6481,6c47877d-f5f3-48e5-b312-5aedb4c0a110,85504271.0,19/31/1/2/2/0008,Nigeria,NGA,Kano,Nasarawa,0,Kawaji,0,Topcare Specialist Medical Centre,NHFR_2024,Private,For Profit,Secondary,Primary Health Center,12.0095828,8.57652187,GRID3_EHEALTH,2024-11-11,8.57652187000002,12.0095828
6482,3b74fbef-4052-403a-ae7e-09a4249adf90,74515514.0,19/31/1/1/2/0008,Nigeria,NGA,Kano,Nasarawa,0,Tudunwada (Nsr),1,Doctors Clinic,NHFR_2024,Private,For Profit,Primary,Primary Health Center,12.01300096,8.56633614,GRID3_EHEALTH,2024-11-11,8.56633614000003,12.0130009600001
6483,731bdb21-8ca6-4937-91c7-2f54315488a2,55927698.0,19/44/1/2/2/0002,Nigeria,NGA,Kano,Wudil,0,Sabon Gari (Wdll),0,Gidan Alhazai Hospital and Maternity,NHFR_2024,Private,For Profit,Secondary,Primary Health Center,11.80086242,8.84878394,GRID3_EHEALTH,2024-11-11,8.84878394000003,11.80086242
6484,3f1353b5-6b17-40ad-89af-5b138a1ba6be,80754393.0,19/17/1/1/1/0002,Nigeria,NGA,Kano,Gwale,0,Dorayi,0,Bayero University Kano Staff Clinic,NHFR_2024,Public,Unknown,Primary,Unknown,11.97653,8.480377,GRID3_EHEALTH,2024-11-11,8.48037700000003,11.97653
6485,5f3a9185-a7ee-4f92-ab08-a1802cf394ad,51511569.0,19/07/1/1/1/0015,Nigeria,NGA,Kano,Dala,0,Yalwa Dala,0,Yalwa (Dal) Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.002493,8.500263,GRID3_EHEALTH,2024-11-11,8.50026300000007,12.0024930000001
6486,c6cc0ae3-d672-4cdb-8f74-35101dc99edf,72612188.0,19/12/1/1/2/0006,Nigeria,NGA,Kano,Fagge,0,Sabon Gari West,0,Middle Road Maternal and Child Health,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.019295,8.534225,GRID3_EHEALTH,2024-11-11,8.53422500000005,12.0192950000001
6487,259c743c-98cf-4074-985d-7957b32aa432,50661846.0,19/13/1/1/1/0013,Nigeria,NGA,Kano,Gabasawa,0,Gabasawa,0,Kawo Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.162237,8.854395,GRID3_EHEALTH,2024-11-11,8.85439500000007,12.1622370000001
6488,db40db25-dcee-4d7c-b88d-993128b94c59,58128801.0,19/13/1/1/1/0020,Nigeria,NGA,Kano,Gabasawa,0,Zakirai,0,Tankarau Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.08324,8.907004,GRID3_EHEALTH,2024-11-11,8.90700400000003,12.08324
6489,61975766-0926-4f78-977c-cfe5bb3c8af7,51156673.0,19/14/1/1/1/0010,Nigeria,NGA,Kano,Garko,0,Raba,0,Kawo Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.68205,8.771965,GRID3_EHEALTH,2024-11-11,8.77196500000002,11.6820500000001
6490,b6182029-fd56-4124-98a1-47d244f3a970,52745384.0,19/36/1/1/1/0013,Nigeria,NGA,Kano,Sumaila,0,Rimi,0,Farin Dutse Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.35569,8.99487,NHFR_2024,2024-11-11,8.99487000000005,11.35569
6491,b9ce43f1-291e-420c-b2bb-875519a0cb41,31979956.0,19/02/1/1/1/0022,Nigeria,NGA,Kano,Albasu,0,Gagarami,0,Makera Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.58569336,9.299682617,GRID3_EHEALTH,2024-11-11,9.29968261700003,11.5856933600001
6492,d80f31ee-109e-4539-855f-176ad5a700c0,78857793.0,19/01/1/1/1/0021,Nigeria,NGA,Kano,Ajingi,0,Kunkurawa,0,Kunkurawa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.974842,9.06382,GRID3_EHEALTH,2024-11-11,9.06382000000002,11.974842
6493,64de5fd3-b198-42eb-84f8-a00a4149e45b,47176416.0,19/03/1/1/1/0005,Nigeria,NGA,Kano,Bagwai,0,Rimin Dako,0,Baure Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.081447,8.189806,GRID3_EHEALTH,2024-11-11,8.18980600000003,12.081447
6494,133162e5-8d52-4d23-aca6-44a47825822c,34987506.0,19/03/1/1/1/0002,Nigeria,NGA,Kano,Bagwai,0,Sare-Sare,0,Alajawa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.102407,7.994044,GRID3_EHEALTH,2024-11-11,7.99404400000003,12.102407
6495,75ac93b5-4a92-4766-b90a-5ff9e20442f4,52080288.0,19/10/1/1/1/0017,Nigeria,NGA,Kano,Dawakin Tofa,0,Danguguwa,0,Gabari (Dawakin Tofa) Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.046589,8.394779,GRID3_EHEALTH,2024-11-11,8.39477900000003,12.046589
6496,86e1bf57-d3ba-4707-9b85-4d941ae45fc6,71568215.0,19/10/1/1/1/0032,Nigeria,NGA,Kano,Dawakin Tofa,0,Jalli,0,Madachi Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.196126,8.473935,GRID3_EHEALTH,2024-11-11,8.47393500000004,12.196126
6497,a844dad1-d080-4b81-a00d-3becfe59c46c,21783397.0,19/15/1/1/1/0001,Nigeria,NGA,Kano,Garum Mallam,0,Makwaro,0,Agalawa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.730834,8.391072,GRID3_EHEALTH,2024-11-11,8.39107200000007,11.7308340000001
6498,991a7d97-8e7b-4c64-9869-d811e7d9f3c5,51144911.0,19/16/1/1/1/0015,Nigeria,NGA,Kano,Gaya,0,Kazurawa,0,Kalahadi Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.720552,9.024281,GRID3_EHEALTH,2024-11-11,9.02428100000003,11.7205520000001
6499,5837d276-25ce-40ea-8114-3e78dddfd950,63059531.0,19/16/1/1/1/0010,Nigeria,NGA,Kano,Gaya,0,Maimakawa,0,Hausawa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.730075,9.099678,GRID3_EHEALTH,2024-11-11,9.09967800000004,11.7300750000001
6500,833c08cb-11db-4e49-8284-53782d988a8a,46474311.0,19/16/1/1/1/0012,Nigeria,NGA,Kano,Gaya,0,Shagogo,0,Jobe Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.822668,8.947539,GRID3_EHEALTH,2024-11-11,8.94753900000006,11.822668
6501,5ecd4bda-30bf-4a64-aa8c-08b99decaa43,62005919.0,19/16/1/1/1/0002,Nigeria,NGA,Kano,Gaya,0,Wudilawa Gaya,0,Amarawa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.817695,8.901274,GRID3_EHEALTH,2024-11-11,8.90127400000006,11.8176950000001
6502,92ba631e-d28f-4edb-84b6-ea90836abf58,72695493.0,19/18/1/1/1/0018,Nigeria,NGA,Kano,Gezawa,0,Gawo,0,Tofa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.012756,8.749386,GRID3_EHEALTH,2024-11-11,8.74938600000007,12.012756
6503,f695413d-aef9-4eab-954d-1aef85eb6f49,78217861.0,19/35/1/1/1/0005,Nigeria,NGA,Kano,Gwarzo,0,Unguwar Tudu,0,Dorogo Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.981795,7.988151,GRID3_EHEALTH,2024-11-11,7.98815100000007,11.981795
6504,76ac85eb-ee50-43c1-8068-9da648fc3c9f,75990196.0,19/20/1/1/1/0026,Nigeria,NGA,Kano,Kabo,0,Dugabau,0,Walawa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.786182,8.223154,GRID3_EHEALTH,2024-11-11,8.22315400000002,11.7861820000001
6505,7ed2e218-2aac-4b88-b5e1-89a0a8028c6d,71613033.0,19/28/1/1/1/0013,Nigeria,NGA,Kano,Kabo,0,Kanwa Kabo,0,Kanwa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.82643,8.150535,GRID3_EHEALTH,2024-11-11,8.15053500000005,11.8264300000001
6506,86e3687e-d8bc-4495-b2d1-802a4236e7f6,75335979.0,19/20/1/1/1/0028,Nigeria,NGA,Kano,Madobi,0,Kanwa Kabo,0,Kanwa Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11.858817,8.423477,GRID3_EHEALTH,2024-11-11,8.42347700000005,11.858817
6507,96ee5928-9191-49e9-8a41-bc7a5e5547cc,35004998.0,19/29/1/1/1/0031,Nigeria,NGA,Kano,Makoda,0,Durma,0,Walawa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.343571,8.477297,GRID3_EHEALTH,2024-11-11,8.47729700000002,12.3435710000001
6508,be75acb4-4fb8-4726-bb35-a17afddfd2c3,71144980.0,19/29/1/1/1/0011,Nigeria,NGA,Kano,Makoda,0,Jibga,0,Jibga Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.423178,8.479369,GRID3_EHEALTH,2024-11-11,8.47936900000008,12.4231780000001
6509,43bf73db-4668-4365-9b51-c04571e952bd,26318332.0,19/29/1/1/1/0019,Nigeria,NGA,Kano,Makoda,0,Koguna,0,Sabon Ruwa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.372225,8.43797,GRID3_EHEALTH,2024-11-11,8.43797000000006,12.3722250000001
6510,898e7b58-c6c1-420e-a1cc-1ca4219d8008,63610358.0,19/30/1/1/1/0026,Nigeria,NGA,Kano,Minjibir,0,Kuru,0,Zabainawar Dansudu Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.159606,8.510459,GRID3_EHEALTH,2024-11-11,8.51045900000003,12.1596060000001
6511,2616ec25-bd25-4a86-b623-c05dcb475df5,16409616.0,19/30/1/1/1/0012,Nigeria,NGA,Kano,Minjibir,0,Wasai,0,Gurjiya (Mjb) Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.222731,8.707135,GRID3_EHEALTH,2024-11-11,8.70713500000005,12.2227310000001
6512,e4c36609-af24-46e9-ba7b-8dad50c39685,80850686.0,19/30/1/1/1/0027,Nigeria,NGA,Kano,Minjibir,0,Sarbi,0,Zango (Mjb) Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.251149,8.699936,GRID3_EHEALTH,2024-11-11,8.69993600000004,12.2511490000001
6513,b25ebfd6-bcd0-4ba7-b287-284a2081869e,42473704.0,19/32/1/1/1/0016,Nigeria,NGA,Kano,Rano,0,Yalwa Rano,0,Yalwa (Ran) Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.43274,8.526887,GRID3_EHEALTH,2024-11-11,8.52688700000004,11.43274
6514,43f25992-725a-4727-9c35-51ac0f3815a4,13364266.0,19/36/1/1/1/0042,Nigeria,NGA,Kano,Sumaila,0,Kanawa,0,Yan Bawa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.371443,9.059448,GRID3_EHEALTH,2024-11-11,9.05944800000003,11.3714430000001
6515,760e16fa-f50d-459c-bdd8-48addacec7fd,13096704.0,19/36/1/1/1/0027,Nigeria,NGA,Kano,Sumaila,0,Magami,0,Kwajale Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.229821,8.989258,GRID3_EHEALTH,2024-11-11,8.98925800000006,11.2298210000001
